2018年 医 保 药 品 目 录,,,,,,,,,,,,
,,,,,,,,,,,,,
序号,医保药品名称,目录类别,目录剂型,目录等级,工伤目录,生育目录,医疗目录,非处方用药,限制范围,普通人员支付类型,特殊人群支付类型,居民支付类型
5314,疏肝理脾片(省中医附一专用制剂),中成药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
5315,舒肝明目丸(省中医附一专用制剂),中成药,丸剂,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
5316,痛风克颗粒剂(省中医附一专用制剂),中成药,颗粒剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
5317,蜈蚣胶囊(省中医附一专用制剂),中成药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
5318,象皮生肌膏(省中医附一专用制剂),中成药,软膏剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
5319,消水丸(省中医附一专用制剂),中成药,丸剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
5320,消炎止带外洗液(省中医附一专用制剂),中成药,外用液体剂,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
5321,泻心胶囊(省中医附一专用制剂),中成药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
5322,熊胆消痔灵(省中医附一专用制剂),中成药,软膏剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
5323,血竭胶囊(省中医附一专用制剂),中成药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
5324,血压平胶囊(省中医附一专用制剂),中成药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
5325,眼明灵丸(省中医附一专用制剂),中成药,丸剂,乙类,属于,属于,属于,处方用药,,先支付20%,无先支付,先支付20%
5326,疡必愈止痛片(省中医附一专用制剂),中成药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
5327,益气明目丸(省中医附一专用制剂),中成药,丸剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
5328,远视复明丸(省中医附一专用制剂),中成药,丸剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
5329,增光袋泡剂(省中医附一专用制剂),中成药,口服散剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
5330,正斜丸(省中医附一专用制剂),中成药,丸剂,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
5331,止血愈疡颗粒(省中医附一专用制剂),中成药,颗粒剂,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
5332,滋阴明目丸(省中医附一专用制剂),中成药,丸剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
5333,桃红四物液(省中医附一专用制剂),西药,口服液体剂,乙类,属于,属于,属于,非处方用药,,先支付5%,无先支付,先支付5%
5334,续筋接骨液(省中医附一专用制剂),西药,口服液体剂,乙类,属于,属于,属于,非处方用药,,先支付5%,无先支付,先支付5%
5335,加味独活寄生合剂(省中医附一专用制剂),西药,口服液体剂,乙类,属于,属于,属于,非处方用药,,先支付5%,无先支付,先支付5%
5336,扶正口服液(省中医附一专用制剂),西药,口服液体剂,乙类,属于,属于,属于,非处方用药,,先支付5%,无先支付,先支付5%
5337,参黄洗液(省中医附一专用制剂),西药,口服液体剂,乙类,属于,属于,属于,非处方用药,,先支付5%,无先支付,先支付5%
5338,伤科膏药(省中医附一专用制剂),西药,贴剂,乙类,属于,属于,属于,非处方用药,,先支付5%,无先支付,先支付5%
5339,参仙乙肝灵(省中医附一专用制剂),西药,口服常释剂型,乙类,属于,属于,属于,非处方用药,,先支付10%,无先支付,先支付10%
5340,再生胶囊(省中医附一专用制剂),西药,口服常释剂型,乙类,属于,属于,属于,非处方用药,,先支付5%,无先支付,先支付5%
5341,槐榆通便合剂(省中医附一专用制剂),西药,口服液体剂,乙类,属于,属于,属于,非处方用药,,先支付5%,无先支付,先支付5%
5342,通痹颗粒(省中医附一专用制剂),西药,颗粒剂,乙类,属于,属于,属于,非处方用药,,先支付10%,无先支付,先支付10%
5343,止痒润肤乳剂(省中医附一专用制剂),西药,软膏剂,乙类,属于,属于,属于,非处方用药,,先支付5%,无先支付,先支付5%
5344,柴胡三参胶囊(省中医附一专用制剂),西药,口服常释剂型,乙类,属于,属于,属于,非处方用药,,先支付10%,无先支付,先支付10%
5345,怡肾丸(省中医附一专用制剂),西药,丸剂,乙类,属于,属于,属于,非处方用药,,先支付10%,无先支付,先支付10%
5346,复方钩藤降压片(省中医附一专用制剂),西药,口服常释剂型,乙类,属于,属于,属于,非处方用药,,先支付10%,无先支付,先支付10%
5347,银花地苓合剂(省中医附一专用制剂),西药,口服液体剂,乙类,属于,属于,属于,非处方用药,,先支付10%,无先支付,先支付10%
5348,消炎止痒洗剂(省中医附一专用制剂),西药,外用液体剂,乙类,属于,属于,属于,非处方用药,,先支付5%,无先支付,先支付5%
5349,药浴洗剂(省中医附一专用制剂),西药,外用液体剂,乙类,属于,属于,属于,非处方用药,,先支付5%,无先支付,先支付5%
5350,清解丸(省中医附一专用制剂),西药,丸剂,乙类,属于,属于,属于,非处方用药,,先支付10%,无先支付,先支付10%
5351,伤速康贴膏(省中医附一专用制剂),西药,贴剂,乙类,属于,属于,属于,非处方用药,,先支付5%,无先支付,先支付5%
5352,复方消炎散(省中医研究附院专用制剂),中成药,外用散剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5353,肝喜片(省中医研究附院专用制剂),中成药,口服常释剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5354,乳核内消片(省中医研究附院专用制剂),中成药,口服常释剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5355,三七粉(省中医研究附院专用制剂),中成药,外用散剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5356,癌复康片(省中医研究附院专用制剂),中成药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
5357,便可通片(省中医研究附院专用制剂),中成药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
5358,补脑安尔眠袋泡茶(省中医研究附院专用制剂),中成药,口服散剂,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
5359,导气颗粒(省中医研究附院专用制剂),中成药,颗粒剂,乙类,属于,属于,属于,处方用药,,先支付20%,无先支付,先支付20%
5360,复方胆宁片(省中医研究附院专用制剂),中成药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
5361,复方降脂片(省中医研究附院专用制剂),中成药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
5362,复方金甲胶囊(省中医研究附院专用制剂),中成药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
5363,复方清痹片(省中医研究附院专用制剂),中成药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
5364,肝喜合剂(省中医研究附院专用制剂),中成药,口服液体剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
5365,骨伤止痛散(省中医研究附院专用制剂),中成药,外用散剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5366,护心康片(省中医研究附院专用制剂),中成药,口服常释剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5367,甲亢安片(省中医研究附院专用制剂),中成药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
5368,健脑通络胶囊(省中医研究附院专用制剂),中成药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
5369,健脾润肺止咳冲剂(省中医研究附院专用制剂),中成药,颗粒剂,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
5370,咳喘停合剂(省中医研究附院专用制剂),中成药,口服液体剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
5371,老白灵片(省中医研究附院专用制剂),中成药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
5372,平癌片(省中医研究附院专用制剂),中成药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
5373,强骨颗粒(省中医研究附院专用制剂),中成药,颗粒剂,乙类,属于,属于,属于,处方用药,,先支付20%,无先支付,先支付20%
5374,清咽利喉袋泡剂(省中医研究附院专用制剂),中成药,口服散剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
5375,肾复康冲剂(省中医研究附院专用制剂),中成药,颗粒剂,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
5376,升力合剂(省中医研究附院专用制剂),中成药,口服液体剂,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
5377,痛经停颗粒(省中医研究附院专用制剂),中成药,颗粒剂,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
5378,胃康颗粒(省中医研究附院专用制剂),中成药,颗粒剂,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
5379,豨莶通络液(省中医研究附院专用制剂),中成药,外用液体剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
5380,消积化滞颗粒(省中医研究附院专用制剂),中成药,颗粒剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
5381,眼疲宁片(省中医研究附院专用制剂),中成药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
5382,养心安神片(省中医研究附院专用制剂),中成药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
5383,养血生发洗剂(省中医研究附院专用制剂),中成药,外用散剂,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
5384,养真生发冲剂(省中医研究附院专用制剂),中成药,颗粒剂,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
5385,乙肝转阴颗粒(省中医研究附院专用制剂),中成药,颗粒剂,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
5386,益肾止晕颗粒(省中医研究附院专用制剂),中成药,颗粒剂,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
5387,止咳化痰合剂(省中医研究附院专用制剂),中成药,口服液体剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
5388,止痒消炎王(省中医研究附院专用制剂),中成药,外用散剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
5389,痔清消袋泡剂(省中医研究附院专用制剂),中成药,口服散剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
5390,滋肾明目胶囊(省中医研究附院专用制剂),中成药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
5391,鹅不食草连霉素滴鼻液(省中医附二专用制剂),中成药,滴鼻剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5392,复方呋喃西林滴鼻液(省中医附二专用制剂),西药,滴鼻剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5393,复方甘油洗剂(省中医附二专用制剂),西药,外用液体剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5394,硫磺洗剂(省中医附二专用制剂),西药,外用液体剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5395,炉甘石洗剂(省中医附二专用制剂),西药,外用液体剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5396,青黛散(省中医附二专用制剂),中成药,外用散剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5397,三七粉(省中医附二专用制剂),中成药,外用散剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5398,伤科膏药(省中医附二专用制剂),中成药,硬膏剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5399,温通散(省中医附二专用制剂),中成药,外用散剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5400,消炎散(省中医附二专用制剂),中成药,外用散剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5401,盐酸麻黄碱滴鼻液(省中医附二专用制剂),西药,滴鼻剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5402,银灰膏(省中医附二专用制剂),中成药,软膏剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5403,鼻敏片(省中医附二专用制剂),中成药,口服常释剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5404,丹七片(省中医附二专用制剂),中成药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
5405,跌打促愈片(省中医附二专用制剂),中成药,口服常释剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
